Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[Office] Meeting Room SS;False;17;0;0;0
[Office] Meeting Room SS;False;18;0;0;0
[Office] Meeting Room SS;False;19;0;0;0
[Office] Meeting Room SS;False;20;0;0;0
[Office] Meeting Room SS;False;21;0;0;0
[Office] Meeting Room SS;False;22;0;0;0
[Office] Meeting Room SS;False;23;0;0;0
[Office] Meeting Room SS;False;24;0;0;0
[Office] Meeting Room M;True;1;1;0;0.5
[Office] Meeting Room M;True;2;1;0;0.5
[Office] Meeting Room M;True;3;1;0;0.5
[Office] Meeting Room M;True;4;1;0;0.5
[Office] Meeting Room M;True;5;1;0;0.5
[Office] Meeting Room M;True;6;1;0;0.5
[Office] Meeting Room M;True;7;0.5;0.15;0.5
[Office] Meeting Room M;True;8;0.5;0.15;0.7
[Office] Meeting Room M;True;9;0.5;0.15;0.7
[Office] Meeting Room M;True;10;0.1;0.15;0.5
[Office] Meeting Room M;True;11;0.1;0.05;0.5
[Office] Meeting Room M;True;12;0.1;0.05;0.6
[Office] Meeting Room M;True;13;0.1;0.05;0.6
[Office] Meeting Room M;True;14;0.2;0.05;0.6
[Office] Meeting Room M;True;15;0.2;0.05;0.6
[Office] Meeting Room M;True;16;0.2;0.05;0.5
[Office] Meeting Room M;True;17;0.5;0.2;0.5
[Office] Meeting Room M;True;18;0.5;0.2;0.7
[Office] Meeting Room M;True;19;0.5;0.2;0.7
[Office] Meeting Room M;True;20;0.8;0.2;0.8
[Office] Meeting Room M;True;21;0.8;0.2;0.8
[Office] Meeting Room M;True;22;0.8;0.2;0.8
[Office] Meeting Room M;True;23;1;0.15;0.6
[Office] Meeting Room M;True;24;1;0.15;0.6
[Office] Meeting Room M;False;1;0;0;0
[Office] Meeting Room M;False;2;0;0;0
[Office] Meeting Room M;False;3;0;0;0
[Office] Meeting Room M;False;4;0;0;0
[Office] Meeting Room M;False;5;0;0;0
[Office] Meeting Room M;False;6;0;0;0
[Office] Meeting Room M;False;7;0;0;0
[Office] Meeting Room M;False;8;0;0;0
[Office] Meeting Room M;False;9;0;0;0
[Office] Meeting Room M;False;10;0;0;0
[Office] Meeting Room M;False;11;0;0;0
[Office] Meeting Room M;False;12;0;0;0
[Office] Meeting Room M;False;13;0;0;0
[Office] Meeting Room M;False;14;0;0;0
[Office] Meeting Room M;False;15;0;0;0
[Office] Meeting Room M;False;16;0;0;0
[Office] Meeting Room M;False;17;0;0;0
[Office] Meeting Room M;False;18;0;0;0
[Office] Meeting Room M;False;19;0;0;0
[Office] Meeting Room M;False;20;0;0;0
[Office] Meeting Room M;False;21;0;0;0
[Office] Meeting Room M;False;22;0;0;0
[Office] Meeting Room M;False;23;0;0;0
[Office] Meeting Room M;False;24;0;0;0
[Office] Meeting Room L;True;1;1;0;0.5
[Office] Meeting Room L;True;2;1;0;0.5
[Office] Meeting Room L;True;3;1;0;0.5
[Office] Meeting Room L;True;4;1;0;0.5
[Office] Meeting Room L;True;5;1;0;0.5
[Office] Meeting Room L;True;6;1;0;0.5
[Office] Meeting Room L;True;7;0.5;0.15;0.5
[Office] Meeting Room L;True;8;0.5;0.15;0.7
[Office] Meeting Room L;True;9;0.5;0.15;0.7
[Office] Meeting Room L;True;10;0.1;0.15;0.5
[Office] Meeting Room L;True;11;0.1;0.05;0.5
[Office] Meeting Room L;True;12;0.1;0.05;0.6
[Office] Meeting Room L;True;13;0.1;0.05;0.6
[Office] Meeting Room L;True;14;0.2;0.05;0.6
[Office] Meeting Room L;True;15;0.2;0.05;0.6
[Office] Meeting Room L;True;16;0.2;0.05;0.5
[Office] Meeting Room L;True;17;0.5;0.2;0.5
[Office] Meeting Room L;True;18;0.5;0.2;0.7
[Office] Meeting Room L;True;19;0.5;0.2;0.7
[Office] Meeting Room L;True;20;0.8;0.2;0.8
[Office] Meeting Room L;True;21;0.8;0.2;0.8
[Office] Meeting Room L;True;22;0.8;0.2;0.8
[Office] Meeting Room L;True;23;1;0.15;0.6
[Office] Meeting Room L;True;24;1;0.15;0.6
[Office] Meeting Room L;False;1;0;0;0
[Office] Meeting Room L;False;2;0;0;0
[Office] Meeting Room L;False;3;0;0;0
[Office] Meeting Room L;False;4;0;0;0
[Office] Meeting Room L;False;5;0;0;0
[Office] Meeting Room L;False;6;0;0;0
[Office] Meeting Room L;False;7;0;0;0
[Office] Meeting Room L;False;8;0;0;0
[Office] Meeting Room L;False;9;0;0;0
[Office] Meeting Room L;False;10;0;0;0
[Office] Meeting Room L;False;11;0;0;0
[Office] Meeting Room L;False;12;0;0;0
[Office] Meeting Room L;False;13;0;0;0
[Office] Meeting Room L;False;14;0;0;0
[Office] Meeting Room L;False;15;0;0;0
[Office] Meeting Room L;False;16;0;0;0
[Office] Meeting Room L;False;17;0;0;0
[Office] Meeting Room L;False;18;0;0;0
[Office] Meeting Room L;False;19;0;0;0
[Office] Meeting Room L;False;20;0;0;0
[Office] Meeting Room L;False;21;0;0;0
[Office] Meeting Room L;False;22;0;0;0
[Office] Meeting Room L;False;23;0;0;0
[Office] Meeting Room L;False;24;0;0;0
[General] Off;True;1;0;0;0
[General] Off;True;2;0;0;0
[General] Off;True;3;0;0;0
